iter	Passed	Remaining
0	0	63
1	1	56
2	1	53
3	2	50
4	2	47
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	42
11	5	42
12	6	41
13	6	41
14	7	40
15	7	39
16	8	39
17	8	38
18	8	38
19	9	37
20	10	37
21	10	37
22	10	36
23	11	36
24	12	36
25	12	35
26	12	35
27	13	34
28	13	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	18	28
40	19	28
41	19	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	38	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	42	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
