iter	Passed	Remaining
0	0	56
1	1	51
2	1	48
3	1	47
4	2	45
5	2	44
6	3	43
7	3	42
8	4	42
9	4	41
10	5	40
11	5	40
12	5	39
13	6	38
14	6	38
15	7	38
16	7	37
17	8	37
18	8	36
19	9	36
20	9	35
21	10	35
22	10	35
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	15	32
32	15	31
33	15	31
34	16	30
35	16	30
36	17	29
37	17	29
38	18	28
39	18	28
40	19	27
41	19	27
42	20	26
43	20	26
44	21	25
45	21	25
46	22	24
47	22	24
48	22	23
49	23	23
50	23	22
51	24	22
52	24	21
53	25	21
54	25	20
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	17
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	32	14
70	33	13
71	33	13
72	34	12
73	34	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	38	8
81	38	8
82	38	7
83	39	7
84	39	7
85	40	6
86	40	6
87	41	5
88	41	5
89	42	4
90	42	4
91	43	3
92	43	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
